# Startup Founders & CEOs
# Total: 87

Name                           Position                                           Company                                  URL
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Aayush Gupta                   Founder                                            SettleX                                  https://www.linkedin.com/in/aayushguptaji
Abhay Sarawgi                  Entrepreneur                                       Brain Gurukul Jhansi                     https://www.linkedin.com/in/abhay-sarawgi-6a550a166
Akash Saxenaa                  Chief Executive Officer                            Brilyant                                 https://www.linkedin.com/in/saxenaaakash
Alexandrine Tabeau             Chief Operations Officer & partner                 AIR GLOBAL                               https://www.linkedin.com/in/alexandrinetabeau
Aman Lalwani                   Co-Founder                                         Chaiwalas & Co.                          https://www.linkedin.com/in/amanlalwani
Amin Razavi Sousan             Co-Founder                                         Xarv                                     https://www.linkedin.com/in/amin-razavi-sousan
Anasuya Threse Innocent PhD    Founder & Director                                 BiniWorld Innovations Pvt Ltd            https://www.linkedin.com/in/anasuyathrese
Anil Cordeiro                  Founder and CEO                                    Ashtbit Technologies Pvt Ltd             https://www.linkedin.com/in/anil-cordeiro-ab27373
Anil Kumar Astkar              Chief Revenue Officer                              Method-Hub Technologies                  https://www.linkedin.com/in/anilastkar
Anubhav Chaturvedi             Founder & Product Architect                        WhatsEase                                https://www.linkedin.com/in/anubhav-chaturvedi-a7465a72
Anuj Jokhani                   Founder & Data Strategy Lead                       Vantage Point Company                    https://www.linkedin.com/in/anuj-jokhani-a7350482
Anupam Varshney                Founder                                            India Blockchain Tour                    https://www.linkedin.com/in/anupamvarshney
Barath Kanna                   Founder                                            Oxlo.ai                                  https://www.linkedin.com/in/barath-kanna
Bharanidharan N .,PMP          Chief Information Officer                          ProConnect Supply Chain Solutions Ltd    https://www.linkedin.com/in/bharanidharan-n-pmp-59393414
Bruno Copa                     Founder & CEO                                      Mirai Engineering                        https://www.linkedin.com/in/bruno-copa-a034311b4
Bryan Rodrigues                Building TalentFirst                               TalentFirst                              https://www.linkedin.com/in/bryanrodrigues123
Camille Caballé                Chief Financial Officer                            HyPrSpace                                https://www.linkedin.com/in/camille-caball%C3%A9-98a0b760
Darshil Patel                  Founder and Managing Director                      Infolanze                                https://www.linkedin.com/in/darshilpatel7056
Deep Gandhi                    Co-Founder and CEO                                 Simulation Labs (Sim Labs)               https://www.linkedin.com/in/deep-g-4927a9156
Dr. Sathvik Vishwanath         CEO, Co-Founder                                    Unocoin                                  https://www.linkedin.com/in/sathvikv
Eli Maroni                     Co-Founder                                         MoonsDust                                https://www.linkedin.com/in/eli-maroni-4717a921b
Fabien Canno                   Createur d’Expériences Originales (CEO)            W3B KOAST                                https://www.linkedin.com/in/fabiencanno
Franck Bruno Lopez             Chief Investment Officer                           MBS Global Investments                   https://www.linkedin.com/in/franck-bruno-lopez-4998162
G Vimal Kumar                  Chief Technology Officer                           Cyber Privilege                          https://www.linkedin.com/in/gvkgoogle
Gasper Stih                    Chief Marketing Officer                            Klink Finance                            https://www.linkedin.com/in/gasperstih
Gaurav Khanna                  Founder & CEO                                      Last Mile                                https://www.linkedin.com/in/gauravkhanna1
Gautam Padiyar                 Founder                                            Manasija AI                              https://www.linkedin.com/in/gautampadiyar
Gurvir Hansra                  Founder                                            SNIPE Blockchain                         https://www.linkedin.com/in/gurvir-hansra-2464b0200
Haresh Ahuja                   Co-founder                                         Proacteye Patient Health Management      https://www.linkedin.com/in/haresh-a-8a64696
Hasnat Malik                   CEO & Founder                                      HYFATech                                 https://www.linkedin.com/in/hasnat-malik
Iliès Graffion B.              Chief Technology Officer                           Reverse Contact                          https://www.linkedin.com/in/iliesgraffion
Immanuel John                  Founder                                            Teckas Technologies                      https://www.linkedin.com/in/immanueljohnprofile
Jordan Edwards 🔗               Founder                                            Socius                                   https://www.linkedin.com/in/jordanedwardss
Kartik Sharma                  Founder’s Office                                   Kuvaka Tech                              https://www.linkedin.com/in/kartik-sharma179
Keshav Saraogi                 Co-Founder                                         Panora                                   https://www.linkedin.com/in/keshavsaraogi
Kiran Tallapragada             Chief Technology Officer                           Echor Tech                               https://www.linkedin.com/in/kiran-tallapragada
Krunal Soni                    Chief Executive Officer                            MindDeft Technologies                    https://www.linkedin.com/in/krunalbsoni
Luis Homann                    Co-Founder                                         Jobited                                  https://www.linkedin.com/in/luis-homann
Luke Sullivan                  Co-Founder | Head of Partnerships                  ChainMart                                https://www.linkedin.com/in/luke-sullivan-383b9413a
Manav Ailawadi                 Co-Founder & CMO                                   Blocumen Studios                         https://www.linkedin.com/in/manav-ailawadi-55138854
Manikandan Alagu               CEO and Director                                   HummingBrains Technologies               https://www.linkedin.com/in/manikandan
Manish Kumar                   Founder                                            Algoframe                                https://www.linkedin.com/in/manishgeu8
Max Kanter                     Co-Founder & Amazon Specialist                     The Launchworks                          https://www.linkedin.com/in/max-kanter
Megha Varshini Tamilarasan     Founder                                            Oxlo.ai                                  https://www.linkedin.com/in/megha-varshini-t
Mickael Canu                   Co-Founder                                         Cifer Security                           https://www.linkedin.com/in/mickaelcanu
Mohsan Riaz                    Co-Founder                                         Cifer Security                           https://www.linkedin.com/in/mohsanriaz17
Naman Bagri                    Founder                                            Rustlines                                https://www.linkedin.com/in/namanbagri
Nasar  Ul Zain Azran           Chief Executive Officer                            Cre8tar                                  https://www.linkedin.com/in/abdul-nasirv
Nathan Almond                  Founder                                            Nebula Talent                            https://www.linkedin.com/in/nathan-almond
Naveen Belavadi Nagaraja       Chief Executive Officer                            IGS                                      https://www.linkedin.com/in/naveenbelavadi
Nisha Srivastava               Founder                                            Ancrew Global Services                   https://www.linkedin.com/in/nisha-srivastava-49092218
Nitin Kumar                    Founder & CEO                                      SIHO Research                            https://www.linkedin.com/in/nitinnareshkumar
